"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Multiple.Choice.Grid.object.2.1..How.often.do.you.have.trouble.wrapping.up.the.final.details.of.a.project..once.the.challenging.parts.have.been.done.","Multiple.Choice.Grid.object.2.1..How.often.do.you.have.trouble.wrapping.up.the.final.details.of.a.project..once.the.challenging.parts.have.been.done..Quantised","Multiple.Choice.Grid.object.2.2..How.often.do.you.have.difficulty.getting.things.in.order.when.you.have.to.do.a.task.that.requires.organization.","Multiple.Choice.Grid.object.2.2..How.often.do.you.have.difficulty.getting.things.in.order.when.you.have.to.do.a.task.that.requires.organization..Quantised","Multiple.Choice.Grid.object.2.3..How.often.do.you.have.problems.remembering.appointments.or.obligations.","Multiple.Choice.Grid.object.2.3..How.often.do.you.have.problems.remembering.appointments.or.obligations..Quantised","Multiple.Choice.Grid.object.2.4..When.you.have.a.task.that.requires.a.lot.of.thought..how.often.do.you.avoid.or.delay.getting.started.","Multiple.Choice.Grid.object.2.4..When.you.have.a.task.that.requires.a.lot.of.thought..how.often.do.you.avoid.or.delay.getting.started..Quantised","Multiple.Choice.Grid.object.2.5..How.often.do.you.fidget.or.squirm.with.your.hands.or.feet.when.you.have.to.sit.down.for.a.long.time.","Multiple.Choice.Grid.object.2.5..How.often.do.you.fidget.or.squirm.with.your.hands.or.feet.when.you.have.to.sit.down.for.a.long.time..Quantised","Multiple.Choice.Grid.object.2.6..How.often.do.you.feel.overly.active.and.compelled.to.do.things..like.you.were.driven.by.a.motor.","Multiple.Choice.Grid.object.2.6..How.often.do.you.feel.overly.active.and.compelled.to.do.things..like.you.were.driven.by.a.motor..Quantised","Multiple.Choice.Grid.object.7.7..How.often.do.you.make.careless.mistakes.when.you.have.to.work.on.a.boring.or.difficult.project.","Multiple.Choice.Grid.object.7.7..How.often.do.you.make.careless.mistakes.when.you.have.to.work.on.a.boring.or.difficult.project..Quantised","Multiple.Choice.Grid.object.7.8..How.often.do.you.have.difficulty.keeping.your.attention.when.you.are.doing.boring.or.repetitive.work.","Multiple.Choice.Grid.object.7.8..How.often.do.you.have.difficulty.keeping.your.attention.when.you.are.doing.boring.or.repetitive.work..Quantised","Multiple.Choice.Grid.object.7.9...How.often.do.you.have.difficulty.concentrating.on.what.people.say.to.you..even.when.they.are.speaking.to.you.directly.","Multiple.Choice.Grid.object.7.9...How.often.do.you.have.difficulty.concentrating.on.what.people.say.to.you..even.when.they.are.speaking.to.you.directly..Quantised","Multiple.Choice.Grid.object.7.10..How.often.do.you.misplace.or.have.difficulty.finding.things.at.home.or.at.work.","Multiple.Choice.Grid.object.7.10..How.often.do.you.misplace.or.have.difficulty.finding.things.at.home.or.at.work..Quantised","Multiple.Choice.Grid.object.7.11..How.often.are.you.distracted.by.activity.or.noise.around.you.","Multiple.Choice.Grid.object.7.11..How.often.are.you.distracted.by.activity.or.noise.around.you..Quantised","Multiple.Choice.Grid.object.7.12..How.often.do.you.leave.your.seat.in.meetings.or.other.situations.in.which.you.are.expected.to.remain.seated.","Multiple.Choice.Grid.object.7.12..How.often.do.you.leave.your.seat.in.meetings.or.other.situations.in.which.you.are.expected.to.remain.seated..Quantised","Multiple.Choice.Grid.object.7.13..How.often.do.you.feel.restless.or.fidgety.","Multiple.Choice.Grid.object.7.13..How.often.do.you.feel.restless.or.fidgety..Quantised","Multiple.Choice.Grid.object.7.14..How.often.do.you.have.difficulty.unwinding.and.relaxing.when.you.have.time.to.yourself.","Multiple.Choice.Grid.object.7.14..How.often.do.you.have.difficulty.unwinding.and.relaxing.when.you.have.time.to.yourself..Quantised","Multiple.Choice.Grid.object.7.15..How.often.do.you.find.yourself.talking.too.much.when.you.are.in.social.situations.","Multiple.Choice.Grid.object.7.15..How.often.do.you.find.yourself.talking.too.much.when.you.are.in.social.situations..Quantised","Multiple.Choice.Grid.object.7.16..When.you.re.in.a.conversation..how.often.do.you.find.yourself.finishing.the.sentences.of.the.people.you.are.talking.to..before.they.can.finish.them.themselves.","Multiple.Choice.Grid.object.7.16..When.you.re.in.a.conversation..how.often.do.you.find.yourself.finishing.the.sentences.of.the.people.you.are.talking.to..before.they.can.finish.them.themselves..Quantised","Multiple.Choice.Grid.object.7.17..How.often.do.you.have.difficulty.waiting.your.turn.in.situations.when.turn.taking.is.required.","Multiple.Choice.Grid.object.7.17..How.often.do.you.have.difficulty.waiting.your.turn.in.situations.when.turn.taking.is.required..Quantised","Multiple.Choice.Grid.object.7.18..How.often.do.you.interrupt.others.when.they.are.busy.","Multiple.Choice.Grid.object.7.18..How.often.do.you.interrupt.others.when.they.are.busy..Quantised","Score..ASRS.S","Random_ID"
"1",1730559957430,"02/11/2024 15:05:57",1730559957430,0,"02/11/2024 15:05:57",193496,6,"questionnaire-sii6",NA,41066663,11991274,NA,"complete",NA,"67263faac09c45e34d940bc5","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x991",NA,NA,0,"ASRS",7,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq1","Sometimes","3","Very often","5","Often","4","Very often","5","Very often","5","Sometimes","3","Sometimes","3","Very often","5","Very often","5","Often","4","Very often","5","Rarely","2","Very often","5","Very often","5","Rarely","2","Sometimes","3","Sometimes","3","Sometimes","3","5","MDPRF48951"
"1",1730561358918,"02/11/2024 15:29:18",1730561358918,0,"02/11/2024 15:29:18",193496,6,"questionnaire-sii6",NA,41066844,11991286,NA,"complete",NA,"67263fb0077a6f1611a42eb4","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","911x427",NA,NA,0,"ASRS",7,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq2","Rarely","2","Rarely","2","Sometimes","3","Sometimes","3","Often","4","Often","4","","","","","","","","","","","","","","","","","","","","","","","","","3","MDPRF59066"
"1",1730560661145,"02/11/2024 15:17:41",1730546261145,-4,"02/11/2024 07:17:41",193496,6,"questionnaire-sii6",NA,41066851,11991304,NA,"complete",NA,"6726413fccd3ac4b2f62cddd","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x559",NA,NA,0,"ASRS",7,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq4","Never","1","Rarely","2","Sometimes","3","Rarely","2","Never","1","Never","1","","","","","","","","","","","","","","","","","","","","","","","","","1","MDPRF75783"
"1",1730560777208,"02/11/2024 15:19:37",1730560777208,0,"02/11/2024 15:19:37",193496,6,"questionnaire-sii6",NA,41066885,11991308,NA,"complete",NA,"672640b30d21df547cee43bf","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1920x1080","1920x968",NA,NA,0,"ASRS",7,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","Rarely","2","Never","1","Never","1","Rarely","2","Often","4","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","1","MDPRF09587"
"1",1730560907234,"02/11/2024 15:21:47",1730560907234,0,"02/11/2024 15:21:47",193496,6,"questionnaire-sii6",NA,41066933,11991329,NA,"complete",NA,"6726428b0d21df547cee4456","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x738",NA,NA,0,"ASRS",7,"In","JKIAHBGCFDE",NA,"In","MH_OCT","seq3","Rarely","2","Often","4","Rarely","2","Often","4","Often","4","Never","1","","","","","","","","","","","","","","","","","","","","","","","","","3","MDPRF55556"
"1",1730560916653,"02/11/2024 15:21:56",1730560916653,0,"02/11/2024 15:21:56",193496,6,"questionnaire-sii6",NA,41066936,11991336,NA,"complete",NA,"67264337a05950f0df9892f7","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,0,"ASRS",7,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","Rarely","2","Often","4","Rarely","2","Often","4","Rarely","2","Often","4","","","","","","","","","","","","","","","","","","","","","","","","","3","MDPRF94460"
"1",1730560943809,"02/11/2024 15:22:23",1730560943809,0,"02/11/2024 15:22:23",193496,6,"questionnaire-sii6",NA,41066946,11991341,NA,"complete",NA,"6726434e779a8f3bff98916c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1280x832","1280x712",NA,NA,0,"ASRS",7,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq1","Sometimes","3","Sometimes","3","Never","1","Never","1","Rarely","2","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","2","MDPRF37610"
"1",1730560970259,"02/11/2024 15:22:50",1730560970259,0,"02/11/2024 15:22:50",193496,6,"questionnaire-sii6",NA,41066959,11991332,NA,"complete",NA,"672642ac40ba1b1c8a02a17f","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x695",NA,NA,0,"ASRS",7,"In","IJHKGAFBECD",NA,"In","HM_OCT","seq5","Sometimes","3","Never","1","Rarely","2","Rarely","2","Often","4","Rarely","2","","","","","","","","","","","","","","","","","","","","","","","","","2","MDPRF84283"
"1",1730561039941,"02/11/2024 15:23:59",1730561039941,0,"02/11/2024 15:23:59",193496,6,"questionnaire-sii6",NA,41066989,11991307,NA,"complete",NA,"6726419c40ba1b1c8a02a142","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"ASRS",7,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq3","Rarely","2","Rarely","2","Never","1","Rarely","2","Never","1","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","0","MDPRF06979"
"1",1730561304119,"02/11/2024 15:28:24",1730561304119,0,"02/11/2024 15:28:24",193496,6,"questionnaire-sii6",NA,41067086,11991355,NA,"complete",NA,"67264261b58f023fb1e41d13","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1707x960","1365x671",NA,NA,0,"ASRS",7,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq1","Sometimes","3","Rarely","2","Sometimes","3","Sometimes","3","Often","4","Rarely","2","","","","","","","","","","","","","","","","","","","","","","","","","3","MDPRF61088"
"1",1730561443080,"02/11/2024 15:30:43",1730561443080,0,"02/11/2024 15:30:43",193496,6,"questionnaire-sii6",NA,41067147,11991359,NA,"complete",NA,"672644bce37bd6749fce8f33","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x703",NA,NA,0,"ASRS",7,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq3","Rarely","2","Rarely","2","Rarely","2","Rarely","2","Sometimes","3","Often","4","","","","","","","","","","","","","","","","","","","","","","","","","1","MDPRF78461"
"1",1730561621825,"02/11/2024 15:33:41",1730561621825,0,"02/11/2024 15:33:41",193496,6,"questionnaire-sii6",NA,41067224,11991382,NA,"complete",NA,"672645f5d38c511f3d1606af","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"ASRS",7,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","Sometimes","3","Sometimes","3","Never","1","Never","1","Often","4","Very often","5","Sometimes","3","Very often","5","Never","1","Never","1","Never","1","Never","1","Very often","5","Sometimes","3","Rarely","2","Sometimes","3","Never","1","Never","1","4","MDPRF87060"
"1",1730561640977,"02/11/2024 15:34:00",1730561640977,0,"02/11/2024 15:34:00",193496,6,"questionnaire-sii6",NA,41067235,11991376,NA,"complete",NA,"67264599df20e389b865ceef","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x919",NA,NA,0,"ASRS",7,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq2","Sometimes","3","Sometimes","3","Rarely","2","Sometimes","3","Often","4","Rarely","2","","","","","","","","","","","","","","","","","","","","","","","","","3","MDPRF83676"
"1",1730561669044,"02/11/2024 15:34:29",1730561669044,0,"02/11/2024 15:34:29",193496,6,"questionnaire-sii6",NA,41067258,11991380,NA,"complete",NA,"6726455aca448180ad2e569e","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"ASRS",7,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq4","Often","4","Sometimes","3","Sometimes","3","Often","4","Rarely","2","Often","4","Often","4","Sometimes","3","Sometimes","3","Sometimes","3","Often","4","Sometimes","3","Sometimes","3","Sometimes","3","Often","4","Often","4","Sometimes","3","Rarely","2","5","MDPRF96217"
"1",1730561695459,"02/11/2024 15:34:55",1730561695459,0,"02/11/2024 15:34:55",193496,6,"questionnaire-sii6",NA,41067268,11991394,NA,"complete",NA,"67264597aad7dc1cf38b6e46","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1366x768","1366x641",NA,NA,0,"ASRS",7,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq5","Never","1","Sometimes","3","Rarely","2","Very often","5","Sometimes","3","Sometimes","3","","","","","","","","","","","","","","","","","","","","","","","","","2","MDPRF28820"
"1",1730561756916,"02/11/2024 15:35:56",1730561756916,0,"02/11/2024 15:35:56",193496,6,"questionnaire-sii6",NA,41067309,11991364,NA,"complete",NA,"6726450ee40698a3653098fd","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 129.0.0.0","1536x864","766x743",NA,NA,0,"ASRS",7,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","Rarely","2","Rarely","2","Rarely","2","Rarely","2","Rarely","2","Often","4","","","","","","","","","","","","","","","","","","","","","","","","","1","MDPRF94776"
"1",1730561758378,"02/11/2024 15:35:58",1730561758378,0,"02/11/2024 15:35:58",193496,6,"questionnaire-sii6",NA,41067311,11991362,NA,"complete",NA,"67264518e02f6f9fd49979dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1280x800","1280x679",NA,NA,0,"ASRS",7,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq3","Never","1","Never","1","Rarely","2","Never","1","Very often","5","Never","1","","","","","","","","","","","","","","","","","","","","","","","","","1","MDPRF53839"
"1",1730561803753,"02/11/2024 15:36:43",1730561803753,0,"02/11/2024 15:36:43",193496,6,"questionnaire-sii6",NA,41067330,11991370,NA,"complete",NA,"6726455c6a4607ae807dffb6","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x695",NA,NA,0,"ASRS",7,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq1","Rarely","2","Rarely","2","Never","1","Sometimes","3","Never","1","Often","4","","","","","","","","","","","","","","","","","","","","","","","","","1","MDPRF18559"
"1",1730561808558,"02/11/2024 15:36:48",1730561808558,0,"02/11/2024 15:36:48",193496,6,"questionnaire-sii6",NA,41067335,11991366,NA,"complete",NA,"67264529d11c23bd27adf08b","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"ASRS",7,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq2","Rarely","2","Rarely","2","Sometimes","3","Rarely","2","Never","1","Rarely","2","","","","","","","","","","","","","","","","","","","","","","","","","1","MDPRF94864"
"1",1730561826609,"02/11/2024 15:37:06",1730561826609,0,"02/11/2024 15:37:06",193496,6,"questionnaire-sii6",NA,41067340,11991396,NA,"complete",NA,"67264572cc277b29ef6ae7fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x778",NA,NA,0,"ASRS",7,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq2","Sometimes","3","Rarely","2","Never","1","Rarely","2","Rarely","2","Rarely","2","","","","","","","","","","","","","","","","","","","","","","","","","1","MDPRF98014"
"1",1730561850567,"02/11/2024 15:37:30",1730561850567,0,"02/11/2024 15:37:30",193496,6,"questionnaire-sii6",NA,41067350,11991393,NA,"complete",NA,"6726466b7d0f597e3930f2dc","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x911",NA,NA,0,"ASRS",7,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq5","Often","4","Often","4","Often","4","Often","4","Sometimes","3","Rarely","2","Very often","5","Very often","5","Sometimes","3","Rarely","2","Sometimes","3","Rarely","2","Sometimes","3","Rarely","2","Sometimes","3","Often","4","Sometimes","3","Sometimes","3","4","MDPRF32902"
